20,0.32184,0.20618,-0.082897
40,0.3131,0.22602,-0.020859
60,0.31848,0.25132,0.082911
80,0.32969,0.25422,0.1595
100,0.33846,0.27151,0.1352
120,0.35422,0.27661,0.18816
140,0.33684,0.289,0.18711
160,0.34119,0.29128,0.18593
180,0.3508,0.29786,0.20878
200,0.35051,0.30084,0.22943
220,0.34526,0.30706,0.24735
240,0.36516,0.31389,0.24188
260,0.34276,0.30645,0.23967
280,0.35419,0.30702,0.25418
300,0.35652,0.31544,0.25274
320,0.36327,0.31376,0.26707
400,0.34675,0.31623,0.25998
480,0.34855,0.3139,0.27017
560,0.34341,0.31286,0.26613
640,0.34519,0.30955,0.26547
720,0.34552,0.30494,0.26291
800,0.33978,0.30893,0.27079
880,0.33941,0.30813,0.26338
960,0.34133,0.30759,0.27301
1040,0.33964,0.30228,0.25428
1120,0.33842,0.30737,0.27294
1200,0.3406,0.31152,0.26054
1280,0.33662,0.30603,0.26515
1360,0.33638,0.30971,0.26188
1440,0.3392,0.30698,0.27648
