20,0.14197,0.040559,-0.089436
40,0.1279,0.052195,-0.045432
60,0.13324,0.047752,-0.025258
80,0.11992,0.058127,-0.016483
100,0.13891,0.061583,-0.022549
120,0.11296,0.053592,-0.0037733
140,0.10663,0.043743,-0.029704
160,0.11846,0.052575,-0.014658
180,0.12871,0.056114,-0.023126
200,0.12341,0.057366,-0.0063578
220,0.1175,0.045239,-0.015868
240,0.11382,0.053935,-0.012277
260,0.10634,0.054604,-0.028282
280,0.1011,0.047956,-0.018182
300,0.097191,0.049093,-0.0089733
320,0.1006,0.045526,-0.016889
400,0.094629,0.046922,-0.0073685
480,0.095071,0.04731,-0.0064225
560,0.091794,0.046245,-0.0073931
640,0.088131,0.040095,-0.024686
720,0.087857,0.040679,-0.001878
800,0.090291,0.042181,-0.01
880,0.097023,0.043127,-0.0088085
960,0.095733,0.045967,-0.0040602
1040,0.091295,0.040806,-0.0070412
1120,0.084374,0.04033,-4.9261e-05
1200,0.092208,0.043873,-0.0067614
1280,0.080568,0.039316,0.0021259
1360,0.067318,0.040557,-0.0053338
1440,0.072354,0.038542,-0.012411
